ts,Belkin Art Gallery,Brimacombe-QMI,CCM,CICSR,Forest Sci,Hebb,Koerner Library,Life Sci,Longhouse,MOA,Pacific Res - Sturgeon House,Pacific Res - Orca House,Parc Library,SPPH,UBC Tennis Centre (New),Allard Hall,Art Students Centre,Biomed,Bookstore-NCE,Brock South,Chem Centre,Coal & Mineral,EOS,Food & Beverage Innovation Centre,Michael Smith,Pharmacy,Pulp & Paper,Tall Wood,ULTL,AERL,Alumni Centre,AMS Nest,Bio Sci South,Bio Sci West,BRDF,Buchanan Tower,Chan Centre,CIRS,ESB,FNH,Iona,Orchard Commons,Ponderosa North,Doug Mitchell Thunderbird Sports Centre
2018-10-01T00:00:00Z Rel,"","",198.4188977877299kW,271.4062724113465kW,766.82763671875kW,54.29050827026367kW,203.48326476415002kW,2651.89013671875kW,23.61281030376752kW,279.9645357131957kW,"","","",143.13766360282898kW,157.23739624023438kW,"","",171.3800220489502kW,131.38498735427854kW,"",570.5046997070312kW,43.956720491250344kW,310.31463638941443kW,"",633.9808069864907kW,1572.7838134765625kW,27.48956871032715kW,155.58536005020147kW,"",52.36137111981708kW,78.54524477322897kW,417.0841658910115kW,357.4422190984092kW,452.48958905537916kW,161.8624725341797kW,75.08206399281819kW,196.5037384033203kW,89.31666751702627kW,430.5710627237954kW,154.26441470781964kW,"",604.543199857076kW,333.70508527755743kW,689.2168210347492kW
2018-10-02T00:00:00Z Rel,"","",201.80821561813354kW,269.8083343505858kW,665.784912109375kW,54.29050827026367kW,215.34940926233924kW,2501.998046875kW,24.97698709368705kW,256.32293828328454kW,"","","",140.80590152740476kW,157.4981231689453kW,"","",181.66516923904422kW,135.23745663960779kW,"",569.4871508280437kW,44.990228474140174kW,328.5423545837403kW,"",625.0170567830403kW,1570.79150390625kW,27.48956871032715kW,162.8344429334005kW,"",50.39096077283223kW,82.58955359458922kW,400.3458580970766kW,360.52871322631825kW,452.5583063761394kW,163.16453552246094kW,80.42418829600021kW,179.09584045410156kW,89.68111968040469kW,464.75678078333544kW,155.62411912282312kW,"",624.1067059834802kW,343.46794716517127kW,675.564464569092kW
2018-10-03T00:00:00Z Rel,"","",203.56390619277948kW,269.8257627487183kW,662.1058349609375kW,54.29050827026367kW,220.3323402404785kW,2471.297119140625kW,32.00081992149353kW,238.55789057413736kW,"","","",144.32835022608444kW,158.67791748046875kW,"","",200.81510798136398kW,132.4307967027028kW,"",572.1850967407228kW,41.494217952092484kW,360.70818233489985kW,"",588.4066387812295kW,1607.243408203125kW,27.48956871032715kW,178.88633712132764kW,"",50.84482234716415kW,82.52356211344402kW,400.9837346076966kW,355.9133070309958kW,449.1628699302673kW,189.6804962158203kW,82.944974899292kW,182.94822692871094kW,91.94976063569386kW,524.2093772888182kW,158.02417898178103kW,"",677.6811631520588kW,369.6002677281697kW,626.4921916325886kW
2018-10-04T00:00:00Z Rel,"","",203.00166988372814kW,268.2995734214783kW,678.7593383789062kW,54.29050827026367kW,221.2154715061187kW,2452.69873046875kW,35.315265913804375kW,247.80345726013186kW,"","","",144.6649904251098kW,158.3146514892578kW,"","",203.60220813751224kW,134.64197198549903kW,"",569.1338698069256kW,42.42833717664083kW,347.0561733245849kW,"",594.0651178359988kW,1590.093017578125kW,27.48956871032715kW,172.4293214480082kW,"",50.52388137578965kW,83.00310305754338kW,395.4700676600138kW,360.57038466135657kW,461.0770130157471kW,185.3437042236328kW,83.35878260930382kW,197.78646850585938kW,90.16918512185416kW,521.6678590774535kW,157.66767470041916kW,"",696.1433035532634kW,363.0394697189331kW,633.8297818501791kW
2018-10-05T00:00:00Z Rel,"","",201.83216730753585kW,258.24849780400604kW,641.520751953125kW,54.29050827026367kW,204.95173533757531kW,2449.285400390625kW,27.751993626356132kW,247.1340010960897kW,"","","",139.20458141962692kW,158.3632049560547kW,"","",184.93575318654376kW,133.14781737327579kW,"",564.802604675293kW,44.878964503606156kW,337.4854857126871kW,"",588.6324987411501kW,1581.456787109375kW,27.48956871032715kW,161.36017084121698kW,"",50.12491130828856kW,81.00414184729256kW,395.1624738375346kW,368.270868619283kW,455.228297551473kW,184.19808959960938kW,81.84345761934914kW,207.34063720703125kW,92.86060206095377kW,507.3396234512329kW,157.41914574305216kW,"",698.081227620443kW,353.0551557540893kW,666.8756243387859kW
2018-10-06T00:00:00Z Rel,"","",197.8085459073385kW,187.4702103932699kW,446.4432373046875kW,54.29050827026367kW,162.80471118291217kW,1919.167236328125kW,17.28681938846906kW,241.60900306701657kW,"","","",114.08002289136249kW,157.1470489501953kW,"","",162.13243214289352kW,120.63096030553183kW,"",546.4781182607016kW,39.69506661097208kW,286.24095217386883kW,"",516.426087697347kW,1418.8173828125kW,27.48956871032715kW,152.2195620536804kW,"",32.657414952913925kW,78.5039459466934kW,283.4248867034911kW,358.8405084609986kW,415.8300148646035kW,171.6510467529297kW,68.11571113268535kW,124.9404296875kW,80.45781425635015kW,462.2680606842041kW,129.04377047220868kW,"",620.4335568745931kW,294.65090386072796kW,622.3979552586874kW
2018-10-07T00:00:00Z Rel,"","",194.334260781606kW,190.20264879862472kW,462.9454650878906kW,54.29050827026367kW,160.0225496292114kW,1799.7275390625kW,17.54511147737503kW,237.4807330767313kW,"","","",109.72075700759888kW,157.4029998779297kW,"","",158.15472968419394kW,118.77465319633482kW,"",546.5747222900391kW,39.461429695288345kW,276.2723859151204kW,"",491.4946018854778kW,1313.5770263671875kW,27.48956871032715kW,151.62536271413168kW,"",35.09977434078851kW,70.3162858088811kW,282.8636609713238kW,358.079919497172kW,409.308055559794kW,182.1282501220703kW,67.97892761230466kW,141.09730529785156kW,83.24472184975939kW,435.4097131093342kW,126.08355132738744kW,"",640.714122136434kW,292.14561827977496kW,594.5442371368408kW
2018-10-08T00:00:00Z Rel,"","",194.58604113260907kW,220.47073157628378kW,466.03387451171875kW,54.29050827026367kW,146.15873392422998kW,1981.9825439453125kW,20.547454883654922kW,242.49363263448075kW,"","","",119.18863789240518kW,156.7085723876953kW,"","",168.71566136678058kW,122.34758734703064kW,"",548.2731787363689kW,40.04270913203557kW,291.4096581141155kW,"",540.7565387090045kW,1447.080810546875kW,27.48956871032715kW,155.8127410411835kW,"",39.38056604067485kW,65.10447136561078kW,263.38223759333306kW,359.47160466512037kW,412.1770528157553kW,178.19590759277344kW,42.17829326788585kW,143.80552673339844kW,83.0788833300273kW,402.35331090291345kW,137.13574862480164kW,"",662.8968569437664kW,348.96266047159844kW,541.2546733220418kW
2018-10-09T00:00:00Z Rel,"","",202.68242351214087kW,266.33119106292725kW,691.4339599609375kW,54.29050827026367kW,206.04439282417295kW,2498.551025390625kW,25.27313129107157kW,255.8698499997457kW,"","","",149.23185729980472kW,158.144287109375kW,"","",178.61696497599283kW,136.7710580031077kW,"",552.3129062652589kW,43.526169021924346kW,314.91282669703173kW,"",604.8918323516845kW,1607.4815673828125kW,27.48956871032715kW,155.09609317779547kW,"",50.171749353408806kW,82.44259794553122kW,396.25873788197816kW,366.62750625610363kW,443.33867359161377kW,172.87876892089844kW,77.00688775380452kW,200.76434326171875kW,88.76793714364373kW,430.0860341389972kW,152.4233107566834kW,"",675.4952901204425kW,355.400903224945kW,651.7607043584187kW
