ts,Belkin Art Gallery,Brimacombe-QMI,CCM,CICSR,Forest Sci,Hebb,Koerner Library,Life Sci,Longhouse,MOA,Pacific Res - Sturgeon House,Pacific Res - Orca House,Parc Library,SPPH,UBC Tennis Centre (New),Allard Hall,Art Students Centre,Biomed,Bookstore-NCE,Brock South,Chem Centre,Coal & Mineral,EOS,Food & Beverage Innovation Centre,Michael Smith,Pharmacy,Pulp & Paper,Tall Wood,ULTL,AERL,Alumni Centre,AMS Nest,Bio Sci South,Bio Sci West,BRDF,Buchanan Tower,Chan Centre,CIRS,ESB,FNH,Iona,Orchard Commons,Ponderosa North,Doug Mitchell Thunderbird Sports Centre
2018-10-01T00:00:00Z Rel,"","",198.4188977877299,271.4062724113465,766.82763671875,54.29050827026367,203.48326476415002,2651.89013671875,23.61281030376752,279.9645357131957,"","","",143.13766360282898,157.23739624023438,"","",171.3800220489502,131.38498735427854,"",570.5046997070312,43.956720491250344,310.31463638941443,"",633.9808069864907,1572.7838134765625,27.48956871032715,155.58536005020147,"",52.36137111981708,78.54524477322897,417.0841658910115,357.4422190984092,452.48958905537916,161.8624725341797,75.08206399281819,196.5037384033203,89.31666751702627,430.5710627237954,154.26441470781964,"",604.543199857076,333.70508527755743,689.2168210347492
2018-10-02T00:00:00Z Rel,"","",201.80821561813354,269.8083343505858,665.784912109375,54.29050827026367,215.34940926233924,2501.998046875,24.97698709368705,256.32293828328454,"","","",140.80590152740476,157.4981231689453,"","",181.66516923904422,135.23745663960779,"",569.4871508280437,44.990228474140174,328.5423545837403,"",625.0170567830403,1570.79150390625,27.48956871032715,162.8344429334005,"",50.39096077283223,82.58955359458922,400.3458580970766,360.52871322631825,452.5583063761394,163.16453552246094,80.42418829600021,179.09584045410156,89.68111968040469,464.75678078333544,155.62411912282312,"",624.1067059834802,343.46794716517127,675.564464569092
2018-10-03T00:00:00Z Rel,"","",203.56390619277948,269.8257627487183,662.1058349609375,54.29050827026367,220.3323402404785,2471.297119140625,32.00081992149353,238.55789057413736,"","","",144.32835022608444,158.67791748046875,"","",200.81510798136398,132.4307967027028,"",572.1850967407228,41.494217952092484,360.70818233489985,"",588.4066387812295,1607.243408203125,27.48956871032715,178.88633712132764,"",50.84482234716415,82.52356211344402,400.9837346076966,355.9133070309958,449.1628699302673,189.6804962158203,82.944974899292,182.94822692871094,91.94976063569386,524.2093772888182,158.02417898178103,"",677.6811631520588,369.6002677281697,626.4921916325886
2018-10-04T00:00:00Z Rel,"","",203.00166988372814,268.2995734214783,678.7593383789062,54.29050827026367,221.2154715061187,2452.69873046875,35.315265913804375,247.80345726013186,"","","",144.6649904251098,158.3146514892578,"","",203.60220813751224,134.64197198549903,"",569.1338698069256,42.42833717664083,347.0561733245849,"",594.0651178359988,1590.093017578125,27.48956871032715,172.4293214480082,"",50.52388137578965,83.00310305754338,395.4700676600138,360.57038466135657,461.0770130157471,185.3437042236328,83.35878260930382,197.78646850585938,90.16918512185416,521.6678590774535,157.66767470041916,"",696.1433035532634,363.0394697189331,633.8297818501791
2018-10-05T00:00:00Z Rel,"","",201.83216730753585,258.24849780400604,641.520751953125,54.29050827026367,204.95173533757531,2449.285400390625,27.751993626356132,247.1340010960897,"","","",139.20458141962692,158.3632049560547,"","",184.93575318654376,133.14781737327579,"",564.802604675293,44.878964503606156,337.4854857126871,"",588.6324987411501,1581.456787109375,27.48956871032715,161.36017084121698,"",50.12491130828856,81.00414184729256,395.1624738375346,368.270868619283,455.228297551473,184.19808959960938,81.84345761934914,207.34063720703125,92.86060206095377,507.3396234512329,157.41914574305216,"",698.081227620443,353.0551557540893,666.8756243387859
2018-10-06T00:00:00Z Rel,"","",197.8085459073385,187.4702103932699,446.4432373046875,54.29050827026367,162.80471118291217,1919.167236328125,17.28681938846906,241.60900306701657,"","","",114.08002289136249,157.1470489501953,"","",162.13243214289352,120.63096030553183,"",546.4781182607016,39.69506661097208,286.24095217386883,"",516.426087697347,1418.8173828125,27.48956871032715,152.2195620536804,"",32.657414952913925,78.5039459466934,283.4248867034911,358.8405084609986,415.8300148646035,171.6510467529297,68.11571113268535,124.9404296875,80.45781425635015,462.2680606842041,129.04377047220868,"",620.4335568745931,294.65090386072796,622.3979552586874
2018-10-07T00:00:00Z Rel,"","",194.334260781606,190.20264879862472,462.9454650878906,54.29050827026367,160.0225496292114,1799.7275390625,17.54511147737503,237.4807330767313,"","","",109.72075700759888,157.4029998779297,"","",158.15472968419394,118.77465319633482,"",546.5747222900391,39.461429695288345,276.2723859151204,"",491.4946018854778,1313.5770263671875,27.48956871032715,151.62536271413168,"",35.09977434078851,70.3162858088811,282.8636609713238,358.079919497172,409.308055559794,182.1282501220703,67.97892761230466,141.09730529785156,83.24472184975939,435.4097131093342,126.08355132738744,"",640.714122136434,292.14561827977496,594.5442371368408
2018-10-08T00:00:00Z Rel,"","",194.58604113260907,220.47073157628378,466.03387451171875,54.29050827026367,146.15873392422998,1981.9825439453125,20.547454883654922,242.49363263448075,"","","",119.18863789240518,156.7085723876953,"","",168.71566136678058,122.34758734703064,"",548.2731787363689,40.04270913203557,291.4096581141155,"",540.7565387090045,1447.080810546875,27.48956871032715,155.8127410411835,"",39.38056604067485,65.10447136561078,263.38223759333306,359.47160466512037,412.1770528157553,178.19590759277344,42.17829326788585,143.80552673339844,83.0788833300273,402.35331090291345,137.13574862480164,"",662.8968569437664,348.96266047159844,541.2546733220418
2018-10-09T00:00:00Z Rel,"","",202.68242351214087,266.33119106292725,691.4339599609375,54.29050827026367,206.04439282417295,2498.551025390625,25.27313129107157,255.8698499997457,"","","",149.23185729980472,158.144287109375,"","",178.61696497599283,136.7710580031077,"",552.3129062652589,43.526169021924346,314.91282669703173,"",604.8918323516845,1607.4815673828125,27.48956871032715,155.09609317779547,"",50.171749353408806,82.44259794553122,396.25873788197816,366.62750625610363,443.33867359161377,172.87876892089844,77.00688775380452,200.76434326171875,88.76793714364373,430.0860341389972,152.4233107566834,"",675.4952901204425,355.400903224945,651.7607043584187
2018-10-10T00:00:00Z Rel,"","",213.76363341013592,266.6939063072204,684.2012939453125,54.29050827026367,208.5770322481791,2498.151611328125,27.29951945940653,258.1360716819763,"","","",149.51201502482098,157.82070922851562,"","",177.74744145075476,135.10837833086657,"",567.2337964375815,42.4492443005244,311.56186866760254,"",601.5404408772787,1573.7642822265625,27.48956871032715,148.1892686684926,"",47.51768710215887,84.92117313543955,402.144754568736,371.59215227762854,441.0252389907836,162.46739196777344,72.9107451836268,148.99923706054688,88.55199507872264,449.9280446370442,158.12892349561062,"",667.5012973149616,351.1022203763327,655.2844670613608
